PLOT AREA,PLOT_ID,Resort,Playground,Fitness Centre,University,Theatre,School,Restaurant,Pub,Worship,Library,Kid,Hospital,Cafe,NGO,Government,Diplomatic,Coworking,Company,Viewpoint,Museum,Hotel,T_GH,Attraction,Artwork,TOTAL,X,Y
4248,171144,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,3954776.453,4013720.831
5145,249795,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,3954690.349,4013743.216
5220,214440,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,8,3954425.608,4013771.725
5805,322200,0,0,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,8,3954534.574,4013771.013
5568,236928,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,3954787.497,4013823.488
6014,229555,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,3954789.687,4013810.839
4920,222240,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,3954787.287,4013799.646
6072,244959,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,3954773.944,4013808.597
454,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951689.743,4011438.578
1078,41377,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3953719.041,4013537.677
1239,41391,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3953736.363,4013528.867
1043,41692,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3953771.392,4013493.125
1386,56853,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3953834.034,4013599.297
1140,7215,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951911.845,4012010.105
1512,10136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951866.026,4012013.422
1917,13068,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951822.531,4012010.214
1484,10248,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951859.327,4011990.326
1195,7325,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951901.95,4011987.297
1935,13194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951838.419,4012003.262
1205,9235,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3951960.301,4012112.234
1440,92514,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951882.776,4011988.75
2786,173782,0,0,0,0,1,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3955688.133,4014876.3
2688,173796,0,0,0,0,1,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3955665.533,4014885.018
2604,173810,0,0,0,0,1,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3955642.952,4014892.96
3060,223488,0,0,0,0,1,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,3955615.257,4014901.033
624,6873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3951329.255,4012481.046
1120,11635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951153.076,4012395.408
1110,11640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951172.338,4012388.833
1000,11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3951166.305,4012509.976
1526,18949,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3951153.136,4012596.018
904,5768,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951929.864,4012008.69
892,5836,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951920.495,4011985.89
972,5844,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951898.189,4011968.088
1374,14016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951042.055,4012558.93
1000,10796,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951054.583,4012641.912
1482,16206,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3951127.673,4012624.617
816,10900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951008.925,4012664.252
832,10904,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951024.252,4012657.023
824,10912,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951009.521,4012611.403
804,10920,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951003.577,4012593.22
852,10924,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3950997.327,4012573.974
222,6759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3955260.087,4013715.636
224,6760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3955280.121,4013721.63
472,14150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3955235.297,4013788.732
193,7093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3955268.743,4013750.865
1421,282228,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,3953070.509,4014211.82
765,92556,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,3952960.644,4014304.002
927,92565,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,3952947.628,4014299.166
91,138268,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,8,3952987.252,4014421.805
507,138359,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,9,3952945.519,4014421.361
589,209437,0,0,0,0,0,1,4,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,13,3953029.755,4014519.398
2204,209456,0,0,0,0,0,1,5,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,13,3953022.246,4014513.383
795,165390,0,0,0,0,0,0,3,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,9,3953048.464,4014511.981
1066,143468,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,3953009.103,4014459.941
1358,154546,0,0,0,0,0,1,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3952999.449,4014489.229
2360,228320,0,0,0,0,1,0,3,5,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,14,3953083.157,4014529.898
1700,228340,0,0,0,0,1,0,3,5,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,14,3953069.8,4014533.092
224,100368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,8,3951800.225,4014764.71
344,100376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,8,3951775.738,4014754.807
584,103696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,8,3951811.311,4014790.914
480,103704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,8,3951823.42,4014791.774
